id,title,summary,body,target
"4903","被災者生活再建支援制度","災害により居住する住宅が全壊するなど、生活基盤に著しい被害を受けた世帯に対して支援金を支給します。","* 災害により居住する住宅が全壊するなど、生活基盤に著しい被害を受けた世帯に対して支援金を支給します。* 支給額は、次のとおりです。（世帯人数が1人の場合は、各該当欄の金額が3/4になります。）<table><tbody><tr><th></th><th>基礎支援金<br />（住宅の被害程度）</th><th colspan=2>加算支援金<br />（住宅の再建方法）</th><th>計</th></tr><tr><td rowspan=3>①全壊<br />(被害割合50%以上)<br />②解体<br />③長期避難</td><td rowspan=3>100万</td><td>建設・購入</td><td>200万円</td><td>300万円</td></tr><tr><td>補修</td><td>100万円</td><td>200万円</td></tr><tr><td>貸借（公営住宅を除く）</td><td>50万円</td><td>150万円</td></tr><tr><td rowspan=3>④大規模半壊<br />(被害割合40%台)</td><td rowspan=3>50万</td><td>建設・購入</td><td>200万円</td><td>250万円</td></tr><tr><td>補修</td><td>100万円</td><td>150万円</td></tr><tr><td>貸借（公営住宅を除く）</td><td>50万円</td><td>100万円</td></tr><tr><td rowspan=3>⑤中規模半壊<br />(被害割合30%台)</td><td rowspan=3>ー</td><td>建設・購入</td><td>100万円</td><td>100万円</td></tr><tr><td>補修</td><td>50万円</td><td>50万円</td></tr><tr><td>貸借（公営住宅を除く）</td><td>25万円</td><td>25万円</td></tr></tbody></table>* 支援金の使途は限定されませんので、何にでもお使いいただけます。 詳しくは、内閣府の防災情報のページ http://www.bousai.go.jp/taisaku/seikatsusaiken/shiensya.html 「被災者生活再建支援法の概要」を参照してください。","* 制度の対象となる自然災害は、１０世帯以上の住宅全壊被害が発生した市町村等* 制度の対象となる被災世帯は、以下のとおりです。①住宅が「全壊」した世帯②住宅が半壊、又は住宅の敷地に被害が生じ、その住宅をやむを得ず解体した世帯③災害による危険な状態が継続し、住宅に居住不能な状態が長期間継続している世帯④住宅が半壊し、大規模な補修を行わなければ居住することが困難な世帯（大規模半壊世帯）⑤住宅が半壊し、相当規模の補修を行わなければ居住することが困難な世帯（中規模半壊世帯）* 被災時に現に居住していた世帯が対象となりますので、空き家、別荘、他人に貸している物件などは対象になりません。"
"10104","県立高等学校学習者用端末購入補助","県立高校に通う生徒の学習用端末購入費の一部を補助する。","【補助の対象となる経費】* 端末本体（Chrome OS、Windows OS、iPadOSまたはMacOSのいずれかを搭載し、無線による通信が可能な情報端末）およびキーボードの購入に係る費用* 端末本体またはキーボードの保証に係る費用【交付額】* 補助の対象となる経費にかかた費用の実費額とし、生徒1人に対して上限額は15,000円","* 令和4年度以降に県立高校に入学した者* 補助金の交付を受けたことがない者"
"1068","キャリア形成サポートセンター","キャリア形成サポートセンターは、「ジョブ・カード」の活用と「セルフ・キャリアドック」の導入推進により、従業員の自律的なキャリア形成を支援するとともに、企業の組織活性化や生産性の向上に向けたサポートします。オンラインを活用したセミナーの実施や個別相談を進めています。また、在職中の方にも、キャリアコンサルタントによるキャリアコンサルティングを無料で体験いただけます。","キャリア形成サポートセンターでは企業および在職中の方に以下の支援を行っています。### 企業向け支援① ジョブ・カードを活用した採用活動や従業員の人材育成などを実施する企業への支援② ジョブ・カードを活用した雇用型訓練の実施企業への支援③ セルフ・キャリアドックの導入支援(相談支援・技術的支援、セミナー･研修など。)* ジョブ・カードとは、個人が、自分自身を理解し、将来目指すキャリアを考えるツールのことです。キャリア面談や採用場面などで活用できます。* セルフ・キャリアドックとは、定期的なキャリアコンサルティングとキャリア研修などを組み合わせて行う、従業員のキャリア形成を促進・支援する総合的な仕組みのことです。具体的には、若手社員へのキャリアプラン作り、育児・介護など勤務に制約がある社員への家庭と仕事の両立を意識したキャリア形成支援、シニア社員への高齢期を見据えたキャリアの棚卸しと目標再設定支援などが挙げられます。企業にとっても人材の定着や従業員の意識向上を通じた組織活性化が期待されます。### 在職者向け支援ジョブ・カードを活用した在職者向けのキャリアコンサルティングを行います。（オンラインでの相談や土曜日・平日夜間の相談も行います。）","企業、在職労働者"
"10176","保育施設等の利用に係る現況届","教育・保育給付認定または施設等利用給付認定を受けている保護者は、就労状況等について、毎年1回、市区町村に届出してください。","","教育・保育給付認定または施設等利用給付認定を受けて既に保育施設等を利用している保護者で、引き続き保育施設等の利用を希望する者"
"1517","税務上の取扱いに関する事前照会に対する文書回答手続","納税者サービスの一環として、個別の取引等に係る税務上の取扱い等に関する事前照会に対する回答を文書により行うとともに、その内容を公表することにより、同様の取引等を行う他の納税者に対しても国税に関する法令の適用等について予測可能性を与えることを目的として実施しているものです。","#### 税務上の取扱いに関する事前照会について* 国税庁では、税務署などにおいて、納税者が実際に行う取引等に関して税務上の取扱いが明らかでない事項について、取引前または申告期限前の照会(事前照会)に応じ回答しています。* 事前照会のうち、文書による回答の求めがあった場合で一定の要件を満たすもの(※)については文書による回答を行い、その照会・回答内容を国税庁ウェブサイトにおいて「[文書回答事例](https://www.nta.go.jp/law/bunshokaito/01.htm)」として公表しています。※　文書回答手続の対象となる事前照会の範囲や文書回答手続の対象とならないものについては、国税庁ウェブサイト「[税務上の取扱いに関する事前照会に対する文書回答について](https://www.nta.go.jp/taxes/shiraberu/sodan/kobetsu/bunsho/gaiyo01/01.htm)」の「文書回答手続の対象となる事前照会の範囲」等をご確認ください。* 文書による回答事例のほか、事前照会に対する回答のうち、他の納税者の参考となるものについても、国税庁ウェブサイトにおいて「[質疑応答事例](https://www.nta.go.jp/law/shitsugi/01.htm)」として公表しています。","法人、個人事業者、個人"
"10184","児童手当等に係る寄附の申出","受給資格者が希望する場合、児童手当等（児童手当または特例給付をいいます。）の額の全部または一部を寄附する旨を申し出ることができます。","","児童手当等の受給資格者で、児童手当等の寄附を希望する人"
"4907","年金担保貸付、労災年金担保貸付","国民年金、厚生年金保険、労災年金を担保に、保健・医療や住宅改修資金などを融資します。","* 国民年金、厚生年金保険、労災年金を担保に、保健・医療や住宅改修資金などを融資するものです。* 貸付限度額等は次のとおりです。<table><tbody><tr><th>貸付限度額</th><td>次のうち最も低い額<br />・年金額の0.8倍以内<br />・各支払期の返済額の15倍以内（原則2年半で返済できる額）<br />・200万円以内（一部の使途は80万円以内）</td></tr><tr><th>対 象 経 費</th><td>保健・医療や住宅改修資金など</td></tr><tr><th>保 証 人 等</th><td>年金証書を預けるとともに、信用保証制度の加入または1名以上の連帯保証人が必要</td></tr></tbody></table>※金利については独立行政法人福祉医療機構ホームページ（http://www.wam.go.jp/hp/wp-content/uploads/20181003nentan.pdf ）又は下記の問い合わせ先にご確認ください。","* 年金受給者の方が対象です。"
"10185","居住支援法人補助事業","住宅確保要配慮者の民間賃貸住宅等への入居の円滑化に係る活動（入居および居住支援等）を行う居住支援法人に対して、国がその活動に要する費用の一部を補助するものです。","","住宅セーフティネット法に基づき、都道府県が指定した居住支援を行う法人"
"10164","児童手当等に係る寄附変更等の申出","受給資格者が希望する場合、児童手当等（児童手当または特例給付をいいます。）の寄附申出書の内容を変更または撤回する旨を申し出ることができます。","","児童手当等の受給資格者で、児童手当等の寄附申出書の内容の変更または撤回を希望する人"
"10137","地域における家庭教育支援基盤構築事業","保護者が子に行う家庭教育について情報提供等を通じて支援を行う自治体向けの補助金です。","自治体が行う、子育て中の保護者に対する情報・学習機会の提供、相談対応等の家庭教育支援施策や、家庭教育支援に携わる人材養成等の取組の費用を補助するものです。","地方公共団体"
